job_id,submit_time,runtime_min,norm_cpu_seconds,cores_used
226801470,2026-03-01 10:31:53,18.506,27371.564,1
226803527,2026-03-01 10:48:42,1.679,1382.848,1
226803515,2026-03-01 10:48:35,1.341,1498.176,1
226801921,2026-03-01 10:35:17,13.52,24896.036,1
226801914,2026-03-01 10:35:14,13.507,18410.469,1
226803015,2026-03-01 10:44:46,5.507,5029.365,1
226803299,2026-03-01 10:46:56,3.347,4362.467,1
226803506,2026-03-01 10:48:31,1.506,1275.84,1
226803412,2026-03-01 10:47:46,2.687,5242.812,1
226801289,2026-03-01 10:30:38,20.842,21421.054,1
226802122,2026-03-01 10:36:48,11.858,21296.436,1
226801371,2026-03-01 10:31:10,20.34,18618.66,1
226803608,2026-03-01 10:49:21,1.182,1724.58,1
226801759,2026-03-01 10:34:06,13.854,28711.449,1
226803428,2026-03-01 10:47:53,2.173,2056.26,1
226801834,2026-03-01 10:34:39,13.704,20543.853,1
226803532,2026-03-01 10:48:44,1.508,2139.225,1
226803268,2026-03-01 10:46:44,2.696,5378.724,1
226803207,2026-03-01 10:46:17,3.838,5314.05,1
226802100,2026-03-01 10:36:38,12.689,25997.587,1
226802019,2026-03-01 10:36:01,13.677,18966.87,1
226802225,2026-03-01 10:37:32,11.854,24937.33,1
226801855,2026-03-01 10:34:49,15.349,17975.374,1
226803723,2026-03-01 10:50:15,1.342,1483.286,1
226801455,2026-03-01 10:31:46,18.514,24171.862,1
226803762,2026-03-01 10:50:32,1.02,1950.015,1
226802170,2026-03-01 10:37:11,12.528,26094.819,1
226801590,2026-03-01 10:32:46,18.506,27471.024,1
226801987,2026-03-01 10:35:47,13.845,21955.096,1
226802045,2026-03-01 10:36:13,13.506,19680.892,1
226802012,2026-03-01 10:35:58,13.353,22066.668,1
226801896,2026-03-01 10:35:06,14.007,15553.152,1
226802048,2026-03-01 10:36:15,13.184,21326.525,1
226803445,2026-03-01 10:48:01,3.184,4063.29,1
226801737,2026-03-01 10:33:56,16.029,25569.344,1
226803520,2026-03-01 10:48:38,2.341,2112.504,1
226803528,2026-03-01 10:48:43,2.684,5277.552,1
226803595,2026-03-01 10:49:15,1.677,1487.976,1
226803711,2026-03-01 10:50:10,1.338,1460.291,1
226802117,2026-03-01 10:36:47,12.843,21824.064,1
226803635,2026-03-01 10:49:34,1.676,1558.122,1
226801497,2026-03-01 10:32:04,19.507,18669.585,1
226803361,2026-03-01 10:47:22,2.687,5516.932,1
226802110,2026-03-01 10:36:42,12.518,26220.487,1
226803094,2026-03-01 10:45:27,5.839,6913.56,1
226803644,2026-03-01 10:49:38,1.673,1439.386,1
226803677,2026-03-01 10:49:53,1.179,1435.848,1
